compound_id,smiles,activity_label,activity_value_um
CID-2870196,CC1=NC2=C(C=C(C=C2)Br)C(N1CC(=O)NN)C3=CC=CC=C3,active,
CID-2870396,C1=CC=C(C=C1)C2C3=C(C=CC(=C3)Br)N=C(N2CC(=O)NN)C4=CC=CC=C4,active,
CID-2870407,C1COCCN1CC2=NC3=C(C=C(C=C3)Br)C(N2CC(=O)NN)C4=CC=CC=C4,active,
CID-2890716,CCC(C1=CC=CC=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F,active,
CID-2898168,CC1=CC2=C(C=C1C)NC(=O)CC2C3=CC=CC=C3F,active,
CID-2898209,CC1=CC=C(C=C1)NC(CNS(=O)(=O)C2=CC=C(C=C2)Cl)C3=CC=CC=C3,active,
CID-2915854,CCOC1=CC=C(C=C1)N(CC(=O)NCCSCC2=CC=CO2)S(=O)(=O)C3=CC=C(C=C3)C,active,
CID-2917531,CC1=C(C(=CC=C1)NC(=S)NN2CCOCC2)C,active,
CID-2925127,C1=CC=C(C(=C1)C(=O)CC2(C3=CC=CC=C3N(C2=O)CC(=O)N)O)O,active,
CID-2928698,CC(C)CC(=O)NC(C1=CC=CC=C1Cl)C2=C(C=CC3=CC=CC=C32)O,active,
CID-2939288,CC1CCC2C(C1)C(=O)N(C2=O)C3=C(C=CC(=C3)Cl)OC(=O)C4=CC=CO4,active,
CID-2943685,CC1=CC(=C(C=C1)O)NC2=NC=NC3=CC=CC=C32.Cl,active,
CID-2949086,C1CN(CCN1C2=CC=CC=C2NC(=O)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)C4=CC=C(C=C4)Cl,active,
CID-2951459,CC1=CC=C(O1)C(=O)C2=C(C(=O)N(C2C3=CC=C(C=C3)OC(C)C)CC4=CN=CC=C4)O,active,
CID-2952090,CC1=CC2=C(C=C1)N(C3=C2CCCC3)CC(CN4CCCCCC4)O.Cl,active,
CID-2958977,CC1=CC=C(C=C1)C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=CC(=C(C(=C4)OC)OC)OC,active,
CID-2963113,C1=CC(=C(C(=C1)Cl)CC(=O)NCCCN2C=CN=C2)F,active,
CID-2965851,C1=CC=C2C(=C1)C(=C(N2)C(=O)O)C(C3=C(C=CC(=C3)Br)O)C4=C(NC5=CC=CC=C54)C(=O)O,active,
CID-2966254,C1=CC=C2C(=C1)C(=C(N2)C(=O)O)C(C3=C(C=CC(=C3)Br)OCC(=O)O)C4=C(NC5=CC=CC=C54)C(=O)O,active,
CID-2966450,CC(C1=NN=C(N1C)SCCOC2=CC=C(C=C2)OC)NC(=O)CC3=CC=C(C=C3)OC,active,
CID-2971444,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)CC3=CC=CC=C3[N+](=O)[O-],active,
CID-2974727,CN(C1=C(C=CC(=C1)S(=O)(=O)NC2=CC=C(C=C2)F)OC)S(=O)(=O)C3=CC=C(C=C3)Cl,active,
CID-2993330,CC1=CC(=C(C=C1)OC)NC(=O)CSC2=NC3=C(C(=CS3)C)C(=O)N2,active,
CID-2997527,CC1=CC(=NO1)NC(=O)COC(=O)C(C(C)C)NC2=C(C=C(C=C2)C(F)(F)F)Cl,active,
CID-2998767,CC1(C(=O)N(C(=O)N1)CC(=O)NCC2=CC=CO2)C3=CC4=C(C=C3)C=C(C=C4)OC,active,
CID-2999977,CC1=CC=C(C=C1)C(=O)OC2=CC3=C(C=C2)N(C=N3)C,active,
CID-3091264,C1=CC=C(C=C1)COC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC(=CC=C2)Cl,active,
CID-3110581,C1=CC(=CC(=C1)[N+](=O)[O-])C2=CSC(=N2)NC(=O)C3=C(C(=CC=C3)[N+](=O)[O-])C(=O)O,active,
CID-3128209,C1=CC(=CC=C1NC2=CC=C(C3=NON=C23)[N+](=O)[O-])S(=O)(=O)N,active,
CID-3129448,COC1=CC(=C(C=C1C2=NC3=C(C=C(C=C3)Br)C(N2CC(=O)NN)C4=CC=CC=C4)OC)OC,active,
CID-3152897,CC1=CC=C(C=C1)C2=CC(=NN2)NC(=O)C3=CC=CC=C3[N+](=O)[O-],active,
CID-3158067,COC1=CC(=CC(=C1OC)OC)NC(=O)C2CC(=NO2)C3=CC(=CC=C3)Br,active,
CID-3162837,C1C(N(N=C1C2=CC=CS2)C(=O)CCl)C3=CC=CO3,active,
CID-3178307,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=C(C=C2)O)O)C(=O)NC3CCCC3)C(=O)CN4C5=CC=CC=C5N=N4,active,
CID-3191469,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC=C(C=C2)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,active,
CID-3191502,CC(=O)NC1=CC=C(C=C1)N(C(C2=C(C=C(C=C2)OC)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,active,
CID-3191638,CC(=O)NC1=CC=C(C=C1)N(C(C2=C(C(=CC=C2)OC)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,active,
CID-3191728,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,active,
CID-3192987,CCC1=NC(=C2C3=C(CC(CC3)C)SC2=N1)N4CCN(CC4)C(=O)CCl,active,
